,name,longitude,latitude
14810,NINGDE,120.24766617222424,26.90149860800533
14811,NINGDE,120.4846224755059,27.13275529411471
14812,NINGDE,120.6634619445616,26.98986646767068
14813,WENZHOU,120.92911420914878,27.644866353193983
14814,WENZHOU,120.70965445114332,27.69880564446244
14815,WENZHOU,120.69640379150722,27.479253863177995
14816,WENZHOU,120.6977441211187,27.48989184856005
14817,WENZHOU,120.6453277918668,27.56021517738624
14818,TAIZHOU,121.5512078716158,28.680260208929933
14819,WENZHOU,120.95535348717698,27.95934542633552
14820,WENZHOU,120.94659262820232,27.9611938172186
14821,WENZHOU,120.95031113914553,27.96067208375579
14822,WENZHOU,121.2432844844632,27.830574480732363
14823,WENZHOU,121.24474870089948,27.83368286439192
14824,WENZHOU,121.17990547475767,27.93681776348955
14825,WENZHOU,121.1001006926619,28.045542284432987
14826,WENZHOU,121.20763166514836,27.95514073878427
14827,TAIZHOU,121.55111206065088,28.26137683023472
14828,TAIZHOU,121.5497501245282,28.25258882855098
14829,TAIZHOU,121.54996564778676,28.25639953581735
14830,TAIZHOU,121.54636258947286,28.253569717406357
14831,TAIZHOU,121.55742361619669,28.24491715403376
14832,TAIZHOU,121.56910682262456,28.241902143159887
14833,TAIZHOU,121.57418416867432,28.24100819211488
14834,TAIZHOU,121.58026915431108,28.23405527263888
14835,TAIZHOU,121.52312041229808,28.06881169799781
14836,TAIZHOU,121.63147173522182,28.209339958022987
14837,TAIZHOU,121.66532854503058,28.264570947605677
14838,TAIZHOU,121.68769810959704,28.264325191248677
14839,NINGBO,122.22828579241114,28.84303052370472
14840,TAIZHOU,121.830783569459,28.472341252122263
14841,TAIZHOU,121.83056512494936,28.461955821612797
14842,TAIZHOU,121.71071634219294,28.399926552092403
14843,TAIZHOU,121.71697914281702,28.37627137797031
14844,TAIZHOU,121.74534934949652,28.66679311464708
14845,TAIZHOU,121.7513376434216,28.665219675158035
14846,TAIZHOU,121.7625359402102,28.66203307966396
14847,TAIZHOU,121.76235389573802,28.65781135973173
14848,TAIZHOU,121.76687990205964,28.64707141866356
14849,TAIZHOU,121.77218854331124,28.650729122400985
14850,TAIZHOU,121.77798968000602,28.654487985508656
14851,TAIZHOU,121.76791928435595,28.656176646873583
14852,TAIZHOU,121.80342365118184,28.666761231768223
14853,TAIZHOU,121.80822286139129,28.66622716293457
14854,TAIZHOU,121.80271522018325,28.662973844100165
14855,TAIZHOU,121.80802503527684,28.65626128137325
14856,TAIZHOU,121.81369719584812,28.654921766658063
14857,TAIZHOU,121.81481318585516,28.673926128842307
14858,TAIZHOU,121.8201728118007,28.678052059108115
14859,NINGBO,121.99169182796774,29.0656437365629
14860,NINGBO,122.04592684344712,29.151318732202576
14861,NINGBO,122.01812487330923,29.141987374133585
14862,NINGBO,122.03587855043683,29.14859885206658
14863,NINGBO,122.14351823343873,29.456466537869503
14864,NINGBO,121.88802587213732,29.675512284750628
14865,NINGBO,121.89892517472994,29.677470720462665
14866,NINGBO,121.8932274364218,29.674330098467447
14867,NINGBO,121.96703150124364,29.66340028437045
14868,NINGBO,121.95595888171282,29.6664874985178
14869,NINGBO,121.93936952484025,29.666479215168906
14870,NINGBO,121.94485305672536,29.665259539408485
14871,NINGBO,121.90446078790586,29.676744769155608
14872,NINGBO,121.78039218913766,29.99547255361736
14873,ZHOUSHAN,121.81505826555112,30.125708835706465
14874,NINGBO,122.14938247989588,29.874255884265107
14875,NINGBO,122.1553472422942,29.873518082557062
14876,NINGBO,122.15550090520068,29.877978376877127
14877,NINGBO,122.159681048965,29.87718268966949
14878,NINGBO,122.15973521871965,29.872709946137128
14879,ZHOUSHAN,122.16022528207988,29.88175401584996
14880,ZHOUSHAN,122.16018810812248,29.89223367029858
14881,ZHOUSHAN,122.15994809627504,29.90753823028817
14882,ZHOUSHAN,122.00694525876148,30.22961978322833
14883,ZHOUSHAN,122.04126950420245,30.229385622419265
14884,ZHOUSHAN,122.23400696051414,30.130883136054305
14885,ZHOUSHAN,122.28480248677374,30.132820980297577
14886,ZHOUSHAN,122.27911230296635,30.13389032915123
14887,ZHOUSHAN,122.23442751682238,29.908387766147527
14888,ZHOUSHAN,122.23407525307522,29.90339314449191
14889,ZHOUSHAN,122.23969093608888,29.90187838994332
14890,ZHOUSHAN,122.23956750012331,29.89798862377567
14891,ZHOUSHAN,122.23370684605844,29.89370683122519
14892,ZHOUSHAN,122.23337317535886,29.899572187819512
14893,ZHOUSHAN,122.22277650585686,29.90163770923543
14894,ZHOUSHAN,122.22755658186873,29.90993460197239
14895,ZHOUSHAN,122.22233126931545,29.91668156035795
14896,ZHOUSHAN,122.22168152655117,29.92213984432348
14897,ZHOUSHAN,122.2297627442244,29.920475045425725
14898,ZHOUSHAN,122.2340488024273,29.923813236748927
14899,ZHOUSHAN,122.22173750247934,29.92702925851652
14900,ZHOUSHAN,122.21677553014968,29.92895201428972
14901,ZHOUSHAN,122.21320252971462,29.924195584605865
14902,ZHOUSHAN,122.20588098659552,29.93118134869367
14903,ZHOUSHAN,122.1773697901228,29.93515343378543
